#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
120.320762,124,48780.77506
-508.979281,96,49057.078626
127.091503,209,49081.780739
-121.272185,144,49099.005843
129.18242,133,49114.958174
-95.138196,139,49131.629761
113.308306,47,49137.751629
103.88874,144,49154.918652
113.941406,67,49163.355438
134.807028,108,49176.377164
-84.764451,134,49192.485319
-70.284177,266,49223.672974
155.784299,183,49245.371467
-109.33439,101,49257.704662
111.802769,233,49285.11101
-101.165945,90,49297.931312
-71.634696,116,49312.051381
-126.823209,146,49329.53913
124.19466,125,49344.602846
124.420493,103,49357.161221
118.653704,50,49363.641898
-80.287004,153,49381.990052
127.292763,117,49396.150678
-78.525418,146,49413.584143
169.086648,181,49435.174577
134.61806,118,49449.383466
128.238553,69,49457.94158
-112.101723,46,49465.86458
113.400005,53,49472.653295
125.398972,137,49489.069506
142.461887,163,49508.599381
-85.227043,121,49523.21376
131.120896,83,49533.432177
-64.12089,207,49557.912646
144.439342,141,49574.92728
133.96482,144,49592.181796
-67.189419,130,49607.856124
107.298861,205,49632.116354
140.38978,129,49649.472219
136.512528,133,49667.380029
122.883486,149,49687.113781
156.498717,194,49711.849796
-86.714323,103,49724.390681
111.946709,41,49729.854786
-58.226267,241,49758.351766
122.426003,140,49775.161991
120.514065,86,49785.868674
-94.548014,81,49795.866051
148.6133,135,49812.009018
-96.819316,87,49822.78162
91.219929,135,49839.004581
-69.259901,135,49855.236702
122.442526,63,49863.22435
150.151204,169,49883.34418
150.665253,129,49898.877383
127.509293,132,49914.714047
127.336891,145,49932.08062
-93.182253,92,49943.393598
156.910291,304,49981.198322
-78.833453,121,49995.805187
133.186806,130,50011.418603
-117.651267,79,50021.118704
-79.871464,137,50037.461431
147.357988,156,50056.084989
101.407958,128,50073.189247
118.315398,59,50080.644271
96.769898,157,50099.438244
118.446336,48,50105.697031
129.530669,110,50120.892223
-97.591712,107,50133.902386
149.041043,108,50147.001862
122.085682,75,50156.322168
151.797606,145,50175.536654
-90.203824,70,50184.288104
119.895904,69,50192.872516
134.339802,91,50204.066
143.045992,154,50222.412048
120.041414,64,50232.298286
139.45006,103,50244.841475
141.836462,135,50261.073207
121.243911,137,50279.279516
-362.936612,42,50554.595071
128.901945,112,50570.106564
127.197284,79,50579.866151
-95.173592,125,50594.93351
143.003016,141,50611.842661
140.673483,125,50626.853543
-55.521652,126,50642.039972
-99.92069,60,50649.588447
-75.728532,146,50668.832941
127.137512,77,50678.372351
150.313041,180,50699.706159
105.554323,125,50714.777509
-74.698085,95,50726.412926
-60.806927,160,50745.533902
-95.637922,139,50764.338858
167.175529,230,50791.447178
-113.052687,100,50803.562514
-81.002284,92,50814.820427
146.788081,170,50835.038752
164.641819,223,50861.519499
144.996374,113,50875.149484
-79.329455,133,50891.167567
142.135577,91,50902.316258
102.390064,145,50919.628302
144.731375,108,50934.632168
136.445819,88,50945.407574
154.331269,164,50965.00726
177.471031,236,50992.884381
-74.794068,93,51004.272849
-107.191468,154,51022.707033
158.483284,154,51043.040354
109.627461,46,51048.998818
-85.954924,112,51062.759167
132.625327,174,51083.375965
119.693992,49,51089.720706
115.593343,67,51099.905241
117.065263,60,51107.495572
-89.042762,93,51118.890774
119.982473,60,51126.430588
125.238165,83,51136.6765
-96.187553,70,51145.39739
142.132004,142,51162.448642
148.512282,144,51179.76855
-78.719531,109,51193.061614
-58.192373,128,51208.621455
-91.636441,132,51224.520082
158.964304,147,51242.057402
-99.935077,82,51254.282326
-70.045959,268,51285.775842
-68.802119,174,51306.472186
125.711934,70,51315.231589
-94.04235,96,51326.975159
88.390138,89,51337.866694
163.036344,140,51354.556499
-94.34741,122,51369.233057
132.056901,134,51385.320495
118.978391,84,51397.456878
117.412273,46,51403.441228
-107.053872,187,51425.62605
-51.235996,186,51447.697302
152.351454,165,51467.330374
112.654307,28,51471.279371
-84.061186,86,51481.872468
124.306177,94,51493.373037
-91.963135,178,51516.286644
-112.667352,143,51533.462381
136.462437,193,51556.219537
142.323473,148,51573.946179
101.097771,131,51591.571696
-97.75219,119,51607.736155
-104.17185,149,51625.619236
102.629024,131,51643.219263
-84.685588,112,51656.78513
129.322331,113,51670.500438
164.824771,158,51689.269587
-91.448213,103,51701.839588
-87.551894,126,51716.97361
-89.0157,99,51729.028242
102.10431,184,51750.858069
158.194864,113,51766.662659
113.533057,34,51771.370509
133.794398,85,51781.979595
-468.428387,30,52039.875595
-82.223385,114,52053.619559
129.053216,133,52069.627501
172.953656,207,52094.129911
-95.837478,219,52119.911121
106.976439,126,52135.109729
114.099966,49,52141.463324
128.672398,133,52157.456848
-75.098633,110,52170.822857
150.386912,128,52187.964553
-88.236932,67,52198.192482
-86.548459,100,52210.36096
121.496181,96,52223.85754
146.436173,140,52240.648494
-109.118633,124,52255.579325
-96.14964,139,52272.354032
-90.380708,84,52282.736229
151.443544,113,52296.326495
-72.188913,119,52312.574032
114.157048,31,52316.851443
117.611843,92,52328.102688
-78.096575,160,52347.23216
-98.286182,162,52366.559581
123.575986,63,52374.542254
146.724574,133,52390.473425
119.853586,48,52396.675535
-84.599913,149,52414.617063
-92.950633,99,52426.693801
-101.644061,78,52436.461875
137.295128,83,52446.707386
85.986593,350,52487.468067
-98.365621,141,52504.348103
-105.875457,64,52514.373578
135.135022,77,52523.924634
128.666371,80,52533.789176
-88.135694,105,52546.559942
-89.551626,116,52560.572405
-98.248935,96,52574.064449
-109.557109,143,52591.229362
117.70288,120,52605.718373
111.826223,246,52634.807072
117.465193,213,52659.847368
172.592403,135,52676.287656
136.132244,186,52698.341312
159.310954,166,52718.039155
125.710996,100,52730.245459
125.781144,110,52743.594749
124.219111,87,52754.182859
95.437057,133,52770.180837
159.915978,245,52799.045805
-97.194599,152,52817.17678
152.136627,174,52839.65225
135.785046,87,52850.367057
-78.399018,84,52860.74017
147.816994,115,52874.816166
155.981715,202,52898.686836
117.91398,72,52907.650286
-78.44774,85,52919.965719
146.350485,116,52934.05352
