#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
-88.682096,43,13706.075741
-82.632959,45,13713.312117
110.787414,49,13719.1679
150.095598,70,13727.250108
141.287567,49,13733.125677
128.394638,39,13737.934583
126.575714,36,13742.435825
114.79104,21,13745.355211
-62.33105,67,13753.116609
136.576902,59,13760.047662
-69.556708,86,13769.822545
132.623756,80,13778.977869
138.565752,51,13785.064036
136.575993,51,13791.140377
116.875783,21,13795.869804
-118.513649,86,13805.63442
-95.162447,51,13811.707461
125.570023,31,13815.686379
-83.487885,57,13822.407863
130.307158,76,13831.122537
-95.123314,91,13843.294467
126.651261,63,13850.639483
-87.615994,133,13865.358191
137.122622,39,13870.17087
-87.569448,66,13877.833317
153.878393,52,13884.059628
130.484968,67,13893.615345
-104.947707,74,13902.124113
-79.990582,46,13907.678648
121.818447,36,13912.17882
141.67386,79,13921.203555
130.993015,40,13927.924012
153.292057,79,13938.749378
-117.057014,256,13966.406768
134.762525,102,13977.850812
-279.196492,35,14141.11642
-101.1,1,14141.943739
-194.623085,153,14158.774919
-88.341339,135,14173.696038
105.244401,125,14187.581219
-87.493495,100,14200.621591
133.545225,37,14205.234077
-118.246038,74,14215.543619
125.716681,45,14220.996082
121.666919,39,14225.815907
-153.746556,169,14246.093158
168.312572,80,14255.224326
148.99491,59,14262.143507
113.31542,60,14269.17688
-67.463234,69,14277.157619
128.819575,44,14282.496835
135.077517,54,14288.899256
127.83495,58,14297.504769
19.865617,277,14329.214839
123.161368,38,14333.927859
138.047652,108,14346.087104
-77.218737,49,14351.960262
121.262518,39,14356.830007
-42.233357,178,14378.084492
-80.810431,32,14384.019598
179.157852,99,14395.167588
-86.170977,77,14403.986615
145.771578,54,14410.413597
144.856885,47,14417.885974
-82.224211,93,14428.397827
-32.38371,96,14439.231813
140.669313,52,14447.217694
120.447614,27,14450.774393
-67.988629,72,14459.05474
-70.046666,107,14471.01988
-72.721201,57,14479.530227
160.9016,79,14488.553926
-80.489341,54,14496.732639
156.919701,87,14506.594433
-82.054912,59,14513.510905
124.744531,29,14517.271957
127.966765,77,14526.077799
125.666795,63,14533.408316
112.886676,43,14538.634734
134.320448,46,14544.204527
-71.840954,64,14551.642802
119.68171,42,14556.767018
-74.508222,39,14561.594173
183.805095,122,14575.149775
-74.226957,72,14585.230142
131.424252,39,14590.036446
151.960215,92,14602.220512
